Date,Open,High,Low,Close,dVIX,reason,dSPX
2025-01-27,18.83,22.51,17.57,17.9,0.20538720538720523,jump,-0.0145806426234667
2025-03-10,24.7,29.56,24.68,27.86,0.19212665810868623,jump,-0.026973068524487775
2025-04-08,44.04,57.52,36.48,52.33,0.11387824606215413,level,-0.015700528421156545
2025-04-16,33.24,34.96,29.48,32.64,0.08366533864541825,level,-0.022408428964001637
2025-04-21,32.75,35.75,31.79,33.82,0.14064080944350765,level,-0.023567493895167213
2025-08-01,17.4,21.9,17.39,20.38,0.21889952153110048,jump,-0.01599207494727417
2025-10-10,16.36,22.44,16.23,21.66,0.3183201460742544,jump,-0.027111658161485086
2025-10-16,20.49,25.43,19.85,25.31,0.22625968992248047,jump,-0.0062943520220175575
